steps,X,Y,yaw,vx,vy,yawdot,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,last_ts,mpc_time
41,155.31829833984375,-95.63390350341797,0.8663395518291993,3.238023306540218,-0.12823971042458093,-0.08191277237983227,916.4117218925587,-1.784979028362356,1.0,-0.07529336959123611,0.0,164.38204956054688,-101.4623031616211,149.4410858154297,-90.94754028320312,0.015845613554120064,-1
42,155.3543701171875,-95.59427642822266,0.8649011119454203,3.3662195740720833,-0.14025932904834337,-0.08949859564727132,916.465611654173,-1.77875000310941,1.0,-0.07734351605176926,0.0,164.41273498535156,-101.41869354248047,149.4705352783203,-90.90567779541016,0.01607220619916916,-1
43,155.39234924316406,-95.55278778076172,0.8633356392776445,3.492764959533872,-0.15104467936242205,-0.09636130376387846,916.5221592829764,-1.7720312501000233,1.0,-0.07825154066085815,0.0,164.44488525390625,-101.37297058105469,149.50140380859375,-90.86178588867188,0.01624586433172226,-1
44,155.43478393554688,-95.50664520263672,0.8615476595007925,3.6258844732522535,-0.16064039392255736,-0.10247631928535944,916.5851657749126,-1.7643707660032466,1.0,-0.07772845774888992,0.0,164.4807586669922,-101.32200622558594,149.5358428955078,-90.81285858154297,0.017447736114263535,-1
45,155.47976684570312,-95.4580078125,0.8596420345827863,3.759155575652377,-0.16781777705249223,-0.10719532998351171,916.6517290999333,-1.7560559345239397,1.0,-0.07592562586069107,0.0,164.51861572265625,-101.26815795898438,149.57217407226562,-90.76116943359375,0.017777126282453537,-1
46,155.52102661132812,-95.41348266601562,0.8579080503970357,3.8758571326150375,-0.17174368163070186,-0.10989399649887471,916.7127121430432,-1.7483483928097865,1.0,-0.07351592928171158,0.0,164.55328369140625,-101.21881866455078,149.60545349121094,-90.71380615234375,0.01577869802713394,-1
47,155.5638885498047,-95.36737823486328,0.8561424411733405,3.9919840685549857,-0.17357225946576205,-0.11118286998088124,916.7759397435227,-1.740223582909203,1.0,-0.07009924948215485,0.0,164.58924865722656,-101.16764068603516,149.63998413085938,-90.66466522216797,0.015880227088928223,-1
48,155.61146545410156,-95.31623840332031,0.8542443396854137,4.115795048694513,-0.17310041729194947,-0.11099673305091137,916.8460926414656,-1.731146843490284,1.0,-0.0652964636683464,0.0,164.62911987304688,-101.11088562011719,149.67825317382812,-90.61019134521484,0.017100516706705093,-1
49,155.66018676757812,-95.263916015625,0.8523927103585088,4.2377878776953155,-0.16971682796208043,-0.10899692087522413,916.9178935986434,-1.721783523360362,1.0,-0.05946095287799835,0.0,164.66990661621094,-101.05278778076172,149.71742248535156,-90.55441284179688,0.016987904906272888,-1
50,155.70933532714844,-95.21115112304688,0.8506412824676183,4.3566019429478695,-0.16343712228306817,-0.1051190674533532,916.9903103303792,-1.712286736480339,1.0,-0.05277690663933754,0.0,164.71107482910156,-100.99417114257812,149.75694274902344,-90.49813842773438,0.016661372035741806,-1
51,155.75863647460938,-95.15813446044922,0.8490216810506865,4.472093219284266,-0.1544064064487949,-0.09940215705745997,917.0630240494239,-1.7027688390790827,1.0,-0.04533473402261734,0.0,164.7523651123047,-100.93531036376953,149.7965850830078,-90.44163513183594,0.016293423250317574,-1
52,155.81260681152344,-95.09993743896484,0.8474307751945005,4.594622366910436,-0.14197148748516986,-0.0914845865216751,917.1427555214516,-1.6923923888003947,1.0,-0.03686949983239174,0.0,164.79766845703125,-100.87077331542969,149.84005737304688,-90.37968444824219,0.017389878630638123,-1
