steps,X,Y,yaw,vx,vy,progress,error,cmd_throttle,cmd_steer,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y
6487,-118.54640197753906,-54.5963134765625,1.8478542960596551,13.882081777707267,0.07407578274025628,1491.446264777565,0.13145906475749347,0.5,0.040793851017951965,-112.72366333007812,-52.22007751464844,-126.80845642089844,-56.6666145324707
6488,-118.61459350585938,-54.35942840576172,1.8511689995104221,13.881773818775088,0.07244745410324338,1491.6930154495487,0.13433237335777015,0.5,0.04123301804065704,-112.79927825927734,-51.98084259033203,-126.88187408447266,-56.43431854248047
6489,-118.6828842163086,-54.12505340576172,1.854459601353324,13.881429983723516,0.07156470779561719,1491.937362803104,0.13702318438530692,0.5,0.04085869342088699,-112.87425994873047,-51.74394226074219,-126.95467376708984,-56.20429229736328
6490,-118.75078582763672,-53.89471435546875,1.8576996031355144,13.881116761039339,0.07032894112657129,1492.1777123803809,0.13952358269296955,0.5,0.04040670767426491,-112.9481201171875,-51.51091003417969,-127.02639770507812,-55.97801971435547
6491,-118.81746673583984,-53.67104721069336,1.8608438642765166,13.880836288382369,0.06883802124742022,1492.4112997948846,0.1418097690800912,0.5,0.03979288414120674,-113.02003479003906,-51.28445053100586,-127.09622192382812,-55.75812911987305
6492,-118.89545440673828,-53.412635803222656,1.8644648312526428,13.88055187062081,0.06674500050330812,1492.6814282683338,0.14423840623404818,0.5,0.04099086672067642,-113.10334777832031,-51.022579193115234,-127.17711639404297,-55.50385284423828
6493,-118.98277282714844,-53.12702560424805,1.868474220273757,13.8801068892268,0.06667520190284737,1492.980308177598,0.14670616462817115,0.5,0.041680023074150085,-113.1957015991211,-50.732852935791016,-127.26679229736328,-55.2225341796875
6494,-119.06293487548828,-52.8685302734375,1.8721275446571277,13.879670428436764,0.067313879389582,1493.2511223624767,0.14862275037605124,0.5,0.039307478815317154,-113.279541015625,-50.47034454345703,-127.34820556640625,-54.9676399230957
6495,-119.14352416992188,-52.61189651489258,1.8757389242533298,13.879423772273743,0.06479550298996228,1493.5202717198945,0.15027725845659265,0.5,0.03832799196243286,-113.3630142211914,-50.20946502685547,-127.42925262451172,-54.71432876586914
6496,-119.23225402832031,-52.33259201049805,1.8796306015542625,13.879185401406136,0.061704389679698934,1493.8134869022404,0.1518976999008761,0.5,0.03848174586892128,-113.45411682128906,-49.92530059814453,-127.51771545410156,-54.438411712646484
6497,-119.30879974365234,-52.09467315673828,1.8829157439169297,13.878956823419577,0.06017321551870758,1494.0635201322846,0.15300454459742427,0.5,0.03613513335585594,-113.53192901611328,-49.683006286621094,-127.59326934814453,-54.20314407348633
6498,-119.38642120361328,-51.85588073730469,1.8861621372857362,13.878858382373162,0.05652406766275675,1494.3147079777975,0.15394715091616573,0.5,0.035502463579177856,-113.61024475097656,-49.439613342285156,-127.6693115234375,-53.9668083190918
6499,-119.46147918701172,-51.627323150634766,1.8892154514755122,13.878764931072947,0.05358248750401007,1494.5553454530757,0.15466835763648856,0.5,0.03453970327973366,-113.68538665771484,-49.206459045410156,-127.74227142333984,-53.74041748046875
6500,-119.55169677734375,-51.35536575317383,1.8927808915429103,13.878668205099853,0.05023308932878123,1494.8419559691947,0.15534981756816102,0.5,0.03447726368904114,-113.7750015258789,-48.92881774902344,-127.82928466796875,-53.47083282470703
6501,-119.63335418701172,-51.11201477050781,1.8959109047720804,13.878557900420631,0.0485074151168039,1495.0986751396333,0.15570006751320012,0.5,0.03289126232266426,-113.85545349121094,-48.680152893066406,-127.90740966796875,-53.2293815612793
6502,-119.7180404663086,-50.86214828491211,1.899057962232227,13.878516898890105,0.04576432508067185,1495.3625242478656,0.15586398913520183,0.5,0.03199240565299988,-113.93824005126953,-48.42462158203125,-127.98779296875,-52.981266021728516
6503,-119.79859161376953,-50.626731872558594,1.9019584109754324,13.87849556408848,0.04334462960103469,1495.6113336083454,0.15584761663936766,0.5,0.031087661162018776,-114.01644897460938,-48.183677673339844,-128.06373596191406,-52.747310638427734
6504,-119.87982940673828,-50.39142990112305,1.9047904164786225,13.878492903101863,0.041067874012805206,1495.8602429852556,0.15567139025486698,0.5,0.030253145843744278,-114.0948257446289,-47.94267654418945,-128.13983154296875,-52.513301849365234
6505,-119.95536804199219,-50.17442321777344,1.9073449205962265,13.878502217665563,0.03908355296406629,1496.0900007879043,0.1553858299237568,0.5,0.029649363830685616,-114.16726684570312,-47.720272064208984,-128.21017456054688,-52.29734802246094
6506,-120.04341888427734,-49.92372131347656,1.9102264608956923,13.878520838406383,0.03727629477146088,1496.3556381750511,0.15485856347849222,0.5,0.02833538129925728,-114.25113677978516,-47.463138580322266,-128.29161071777344,-52.04767608642578
6507,-120.13243103027344,-49.67250442504883,1.9130338321587994,13.878581730365202,0.035025859245752855,1496.6220695445704,0.15416825865192565,0.5,0.027382127940654755,-114.33541107177734,-47.20528030395508,-128.37344360351562,-51.79729461669922
