steps,X,Y,yaw,vx,vy,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,delta,alpha,kappa,lookahead,target_vel,front_left_delta,front_right_delta
44,109.9500732421875,92.78813171386719,0.12809459464577266,15.742253764464401,-0.5420781611873147,8.950082699060529,0.2119343449330781,1.0,-0.12419780343770981,0.0,110.4279556274414,85.82645416259766,110.47488403320312,100.59638214111328,-0.2398261437797809,-0.12815492060187553,0.00010006347901609492,None,62.62196630268552,-10.42396354675293,-9.466132164001465
45,110.84506225585938,92.87271118164062,0.07830661497441636,16.09045012919598,-0.21125902366747384,9.845069860659281,0.1272985863380551,1.0,-0.05767393112182617,0.0,111.32266235351562,85.82361602783203,111.36959075927734,100.59354400634766,-0.148674618357452,-0.07836231733229214,9.234450329428229e-05,None,65.18669678551917,-7.004697322845459,-6.55377721786499
46,111.69664764404297,92.93067169189453,0.03642874805043501,16.419545538833663,0.12345189046228289,10.69665373380154,0.06928502678836405,1.0,-0.008186323568224907,0.0,112.17405700683594,85.82090759277344,112.22098541259766,100.59083557128906,-0.0696641348588265,-0.036476929845647786,8.894812301732695e-05,None,66.41957698680339,-3.2407922744750977,-3.1353368759155273
47,112.92666625976562,92.9825210571289,-0.0072501897516317184,16.878802901178172,0.4703223538031159,11.926671302903914,0.017365249687513056,1.0,0.06659794598817825,0.0,113.40390014648438,85.81700134277344,113.4508285522461,100.58692932128906,0.013809908058341036,0.007218243537777978,9.890331708254654e-05,None,62.988181554603436,-0.45786523818969727,-0.455480694770813
48,113.92867279052734,93.0021743774414,-0.027076358802835616,17.240824743038765,0.6407398551358905,12.928679790227598,-0.0023351799895821377,1.0,0.07131043076515198,0.0,114.40583801269531,85.8138198852539,114.45276641845703,100.58374786376953,0.05172675775054894,0.027062331831900398,0.00011850368183747162,None,57.543805245317586,3.5858213901519775,3.711826801300049
49,114.8463134765625,93.01239013671875,-0.030303573250604433,17.56746268014328,0.6961621794757341,13.84632134869078,-0.012582127789300093,1.0,0.06753657758235931,0.0,115.32343292236328,85.81090545654297,115.370361328125,100.5808334350586,0.057918739668572534,0.030309653315873545,0.0001441943641642878,None,52.166338628765075,3.8214969635009766,3.963822364807129
50,115.7977294921875,93.01921844482422,-0.023329825861906746,17.908893200505407,0.5895394321783975,14.79773867567234,-0.019427133418330585,1.0,0.05053625628352165,0.0,116.27481842041016,85.8078842163086,116.32174682617188,100.57781219482422,0.044662608210049186,0.02336048463394716,0.00017960058414121096,None,46.742359030425774,3.6171019077301025,3.7450649738311768
51,116.7751693725586,93.02565002441406,-0.010371413508907284,18.25531120984619,0.3992915974267435,15.775178576148798,-0.025855532583211438,1.0,0.025091126561164856,0.0,117.25222778320312,85.80477905273438,117.29915618896484,100.57470703125,0.019955503552045895,0.010431279529289447,0.0002292287229447455,None,41.374235480474,2.7238049507141113,2.795125961303711
52,117.7237777709961,93.03349304199219,0.003266615968111405,18.583329051029448,0.18943730543403878,16.723786853423867,-0.033672080014454285,1.0,5.808522109873593e-05,0.0,118.2008056640625,85.80176544189453,118.24773406982422,100.57169342041016,-0.006074858210806894,-0.0031750573941476175,0.0002783884959277852,None,37.54385440804994,1.3671796321868896,1.3839994668960571
53,118.7794189453125,93.04483795166016,0.015768868097603396,18.936939431119203,-0.01527252739137569,17.77942737351867,-0.044956041681544115,1.0,-0.020885510370135307,0.0,119.25639343261719,85.79840850830078,119.3033218383789,100.5683364868164,-0.02992167062235751,-0.015643810639685174,0.00028522347792825527,None,37.091283662453286,0.003198636695742607,0.003195885568857193
