steps,X,Y,yaw,vx,vy,yawdot,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,last_ts,mpc_time
51,145.57455444335938,-11.515562057495117,-3.129550904404891,10.13929331136605,0.3939216358683956,0.5231952121469735,2.7704324361314705,0.004575146079276709,1.0,-0.002075756900012493,0.0,145.01852416992188,-2.35857892036438,145.54904174804688,-20.62087631225586,0.09699706267565489,-1
52,144.44094848632812,-11.569254875183105,-3.094096507128775,10.870212600713069,0.16758008643169142,0.32912969575406736,3.942447900543359,0.012586572940057541,1.0,-0.048007577657699585,0.0,143.8738250732422,-2.395643711090088,144.52589416503906,-20.654003143310547,0.10772166028618813,-1
53,144.25657653808594,-11.57888412475586,-3.0910826077231324,10.978199380486815,0.06588648840771105,0.17876859141331572,4.132130905337929,0.014101145931531217,1.0,-0.04632430896162987,0.0,143.68765258789062,-2.402391195297241,144.35948181152344,-20.6600341796875,0.01685922220349312,-1
54,144.0725860595703,-11.587800979614258,-3.089453019452113,11.08472353893221,-0.015579698795079144,0.09782688401562457,4.321112585326103,0.01659022811343331,1.0,-0.041849277913570404,0.0,143.233154296875,-2.419721841812134,143.9532470703125,-20.675525665283203,0.01665787771344185,-1
55,143.8837432861328,-11.596458435058594,-3.0888380955564134,11.19443572183436,-0.06927942329661207,0.03632562385743074,4.51477135446139,0.019927645656124992,1.0,-0.03452784940600395,0.0,143.04244995117188,-2.4273476600646973,143.78277587890625,-20.682342529296875,0.01692810282111168,-1
56,143.69662475585938,-11.604750633239746,-3.0889265125046044,11.303322188647979,-0.09741959223037927,-0.005322862902425485,4.706369294939613,0.023800687242835843,1.0,-0.02510812133550644,0.0,142.85353088378906,-2.4351117610931396,143.61392211914062,-20.689281463623047,0.01661078818142414,-1
57,143.50775146484375,-11.613011360168457,-3.0894136046679797,11.41293088446689,-0.1052193356492816,-0.029334850633775052,4.89948801960829,0.028093757404167877,1.0,-0.01422917377203703,0.0,142.66282653808594,-2.4431686401367188,143.4434814453125,-20.696483612060547,0.016604555770754814,-1
58,143.31668090820312,-11.621418952941895,-3.0900485022718547,11.522971929979429,-0.0967403531117983,-0.03816393068324321,5.09458267383997,0.03265842785993112,1.0,-0.002452816581353545,0.0,142.46994018554688,-2.4515182971954346,143.2710723876953,-20.703947067260742,0.016636064276099205,-1
59,143.11233520507812,-11.630633354187012,-3.0906471808849045,11.63923002379743,-0.07480737399338278,-0.033980616085788486,5.302948124756857,0.03761154495565641,1.0,0.009885555133223534,0.0,142.2636260986328,-2.4606997966766357,143.086669921875,-20.712154388427734,0.017618238925933838,-1
60,142.90638732910156,-11.640290260314941,-3.0909784781245104,11.75460463737696,-0.043942223087857224,-0.0188418310068955,5.51266535520785,0.04253078646609325,1.0,0.02214023843407631,0.0,142.05569458007812,-2.4702045917510986,142.90081787109375,-20.72064781188965,0.017583070322871208,-1
